timestamp,plant_ids,event_type,details
2025-07-04 15:02:19,all,watering,"{""volume_L"": 3, ""solution"": ""agua pura com EM5"", ""concentration_EM5_mL_per_L"": 1, ""application_method"": ""rega no solo (pulverizando)""}"
2025-07-04 15:02:29,"furtado-1,colombian-gold-1",pest_control,"{""application_method"": ""foliar spray"", ""solution"": ""EM5"", ""concentration"": ""1mL/L"", ""reason"": ""Combater tripes.""}"
2025-07-04 15:03:20,sugar-bomb-1,observation,"{""stage"": ""segundo mês de flora""}"
2025-07-04 15:03:20,"miss-crazy-1,banana-punch-1",observation,"{""stage"": ""primeiro mês de flora""}"
2025-07-07 15:48:42,"sugar-bomb-1,miss-crazy-1,banana-punch-1",top_dress,"{""amendments"": [""farinha de osso"", ""farinha de ostra"", ""silicato de potassio"", ""calcario dolomitico"", ""sumisan"", ""match5""], ""quantity"": ""4 colheres de cada"", ""reason"": ""Correção de suspeita de acidificação do solo, disponibilização de cálcio/magnésio e melhora da solubilidade do fósforo."", ""notes"": ""Aplicado em uma fina camada sob a cobertura de palha.""}"
2025-07-07 15:16:56,furtado-1,environmental_adjustment,"{""adjustment_type"": ""light cycle"", ""new_setting"": ""12/12"", ""reason"": ""Induzir floração.""}"
2025-07-07 23:17:12,none,environmental_adjustment,"{""adjustment_type"": ""posicionamento de planta"", ""notes"": ""Tentativa de posicionar uma nova planta entre a(s) Miss Crazy e a Sugar Bomb Punch.""}"
2025-07-07 23:17:29,colombian-gold-1,observation,"{""text"": ""Planejamento para iniciar a floração em no máximo 2 semanas.""}"
2025-07-07 23:17:48,miss-crazy-1,observation,"{""text"": ""A planta foi muito difícil de gerenciar.""}"
2025-07-07 23:18:03,sugar-bomb-1,observation,"{""text"": ""Planta está no final da floração.""}"
2025-07-07 23:18:46,colombian-gold-1,observation,"{""text"": ""Previsão de estar pronta em 1 a 2 semanas.""}"
2025-07-07 23:19:06,miss-crazy-1,observation,"{""text"": ""A planta está no final do estágio de floração.""}"
2025-07-07 23:19:19,all,environmental_adjustment,"{""adjustment_type"": ""lighting"", ""change"": ""Adicionada nova qbarra de 240w"", ""new_total_wattage"": 480, ""reason"": ""Aumentar a intensidade da luz e cobrir todo o espaço.""}"
2025-07-07 23:19:33,none,environmental_adjustment,"{""change_description"": ""Movi a luz quantum board de 120W para a área de vegetação.""}"
2025-07-07 23:19:43,none,environmental_adjustment,"{""parameter"": ""dimensões do espaço de floração"", ""value"": ""1.20m x 0.80m""}"
2025-07-07 23:19:55,none,environmental_adjustment,"{""parameter"": ""grow_space_area"", ""value"": ""0.96m2"", ""notes"": ""Definição da área do espaço de cultivo.""}"
2025-07-07 23:20:07,all,observation,"{""concern"": ""A intensidade da luz pode ser excessiva para o espaço de cultivo.""}"
2025-07-07 23:20:17,all,observation,"{""text"": ""Considerando ajustar o dimmer da luz para evitar queimar os buds superiores.""}"
2025-07-14 15:22:45,"miss-crazy-1,banana-punch-1,sugar-bomb-1",diagnostic,"{""symptom"": ""folhas ressecadas"", ""diagnosis"": ""excesso de água na semana anterior""}"
2025-07-14 15:22:45,"miss-crazy-1,banana-punch-1,sugar-bomb-1",training,"{""technique"": ""poda de limpeza"", ""reason"": ""Remoção de folhas ressecadas.""}"
2025-07-14 15:23:01,"sugar-bomb-1,miss-crazy-1,banana-punch-1",observation,"{""text"": ""Notei uma diferença no consumo de água. A Sugar Bomb Punch consumiu muito mais água durante a semana em comparação com a Miss Crazy e a Banana Punch.""}"
2025-07-14 15:23:01,sugar-bomb-1,diagnostic,"{""symptoms"": [""solo extremamente seco"", ""folhas mortas""], ""possible_cause"": ""Estresse hídrico devido ao alto consumo de água no final da floração.""}"
2025-07-14 15:23:36,none,watering,"{""notes"": ""Rega intensa em uma planta não identificada ('nela').""}"
2025-07-14 15:23:36,none,diagnostic,"{""notes"": ""Observando uma planta não identificada para avaliar a extensão de um dano ('tamanho do estrago').""}"
2025-07-14 15:23:36,none,observation,"{""text"": ""Duas plantas não identificadas estão bem pistiladas nos top buds e começando a resinar.""}"
2025-07-14 15:23:36,none,training,"{""technique"": ""lollipopping"", ""reason"": ""Limpeza do terço inferior para focar energia e melhorar a ventilação."", ""notes"": ""Removido 'pioocas e galhos menores' de duas plantas não identificadas.""}"
